product_id,name,supplier_id,unit_price
M-1090,工业法兰-10,SM-11,"$11,801.00"
M-1091,重型泵体-11,SM-2,"$65,097.00"
M-1092,定制阀门-12,SM-39,"$5,034.00"
M-1093,重型齿轮箱-13,SM-9,47283
M-1094,标准齿轮箱-14,SM-14,5999
M-1095,标准泵体-15,SM-31,"$22,003.00"
M-1096,定制联轴器-16,SM-38,"$63,580.00"
M-1097,标准齿轮箱-17,SM-9,"$43,372.00"
M-1098,工业联轴器-18,SM-10,30087
M-1099,标准联轴器-19,SM-12,60675
M-1100,定制联轴器-20,SM-8,10120
M-1101,精密齿轮箱-21,SM-31,21436
M-1102,定制法兰-22,SM-39,62219
M-1103,定制阀门-23,SM-26,589
M-1104,重型齿轮箱-24,SM-14,48527
M-1105,重型齿轮箱-25,SM-18,56689
M-1106,标准齿轮箱-26,SM-7,"$26,672.00"
M-1107,精密联轴器-27,SM-22,"31,451.00"
M-1108,精密泵体-28,SM-2,"$62,437.00"
M-1109,精密法兰-29,SM-29,"29,877.00"
M-1110,重型泵体-30,SM-25,8717
M-1111,工业阀门-31,SM-33,32217
M-1112,定制法兰-32,SM-4,"$37,607.00"
M-1113,重型法兰-33,SM-24,"12,227.00"
M-1114,标准泵体-34,SM-15,25474
M-1115,重型齿轮箱-35,SM-6,"$14,658.00"
M-1116,重型阀门-36,SM-1,"76,688.00"
M-1117,精密轴承座-37,SM-5,44233
M-1118,标准泵体-38,SM-22,"$36,824.00"
M-1119,精密泵体-39,SM-11,"$43,455.00"
M-1120,工业齿轮箱-0,SM-10,79485
M-1121,定制阀门-1,SM-3,7297
M-1122,重型泵体-2,SM-1,9131
M-1123,重型泵体-3,SM-6,6543
M-1124,标准阀门-4,SM-4,"$79,586.00"
M-1125,精密轴承座-5,SM-12,34422
M-1126,工业法兰-6,SM-3,"$33,854.00"
M-1127,工业轴承座-7,SM-33,16505
M-1128,工业阀门-8,SM-40,$916.00
M-1129,定制轴承座-9,SM-2,25173
M-1130,精密阀门-10,SM-21,"$7,448.00"
M-1131,标准齿轮箱-11,SM-13,52859
M-1132,标准法兰-12,SM-8,"$79,078.00"
M-1133,工业阀门-13,SM-18,57220
M-1134,精密阀门-14,SM-32,"46,760.00"
M-1135,重型法兰-15,SM-2,"25,577.00"
M-1136,标准齿轮箱-16,SM-36,"54,923.00"
M-1137,精密齿轮箱-17,SM-23,"$5,424.00"
M-1138,定制阀门-18,SM-39,64381
M-1139,精密联轴器-19,SM-33,49573
M-1140,标准轴承座-20,SM-15,23395
M-1141,标准齿轮箱-21,SM-25,"$69,497.00"
M-1142,工业联轴器-22,SM-32,"45,507.00"
M-1143,定制轴承座-23,SM-35,5013
M-1144,工业轴承座-24,SM-7,"$14,193.00"
M-1145,重型法兰-25,SM-5,"45,952.00"
M-1146,重型法兰-26,SM-28,770
M-1147,精密法兰-27,SM-9,"$46,132.00"
M-1148,标准法兰-28,SM-12,"$56,147.00"
M-1149,定制齿轮箱-29,SM-36,"68,093.00"
M-1150,标准法兰-30,SM-10,"13,278.00"
M-1151,精密法兰-31,SM-32,78642
M-1152,标准阀门-32,SM-22,17600
M-1153,重型联轴器-33,SM-34,62348
M-1154,定制泵体-34,SM-8,54621
M-1155,定制齿轮箱-35,SM-31,"73,936.00"
M-1156,标准阀门-36,SM-35,45152
M-1157,定制法兰-37,SM-20,5404
M-1158,重型法兰-38,SM-2,7831
M-1159,标准齿轮箱-39,SM-29,"$2,614.00"
M-1160,定制泵体-0,SM-28,"65,195.00"
M-1161,定制泵体-1,SM-31,60957
M-1162,精密阀门-2,SM-8,"$77,999.00"
M-1163,精密齿轮箱-3,SM-9,27824
M-1164,定制法兰-4,SM-11,"$32,027.00"
M-1165,工业泵体-5,SM-36,"35,024.00"
M-1166,定制法兰-6,SM-6,"45,796.00"
M-1167,精密轴承座-7,SM-24,"$12,656.00"
M-1168,重型轴承座-8,SM-28,25284
M-1169,标准法兰-9,SM-6,"$53,236.00"
M-1170,工业联轴器-10,SM-9,30382
M-1171,定制阀门-11,SM-25,"68,078.00"
M-1172,精密法兰-12,SM-27,"$27,686.00"
M-1173,定制泵体-13,SM-19,"$32,444.00"
M-1174,工业泵体-14,SM-12,9137
M-1175,定制联轴器-15,SM-22,"$12,020.00"
M-1176,标准轴承座-16,SM-33,25201
M-1177,工业联轴器-17,SM-33,10866
M-1178,工业泵体-18,SM-4,"$68,704.00"
M-1179,工业泵体-19,SM-38,59725
M-1180,精密联轴器-20,SM-8,"$66,724.00"
M-1181,精密齿轮箱-21,SM-17,36366
M-1182,精密联轴器-22,SM-19,"48,118.00"
M-1183,定制阀门-23,SM-20,9672
M-1184,定制阀门-24,SM-24,62964
M-1185,标准轴承座-25,SM-5,"$37,760.00"
M-1186,工业齿轮箱-26,SM-20,64839
M-1187,工业联轴器-27,SM-7,"$70,179.00"
M-1188,精密阀门-28,SM-29,"$38,879.00"
M-1189,精密泵体-29,SM-26,"$28,427.00"
M-1190,工业法兰-30,SM-33,"$13,427.00"
M-1191,定制轴承座-31,SM-34,"$38,196.00"
M-1192,工业法兰-32,SM-23,36588
M-1193,标准法兰-33,SM-10,"$7,366.00"
M-1194,标准齿轮箱-34,SM-12,29725
M-1195,工业法兰-35,SM-10,66306
M-1196,标准泵体-36,SM-24,"78,460.00"
M-1197,精密轴承座-37,SM-16,11914
M-1198,标准阀门-38,SM-35,"$25,269.00"
M-1199,工业轴承座-39,SM-18,"$54,469.00"
M-1200,标准阀门-0,SM-3,17607
M-1201,精密齿轮箱-1,SM-37,61251
M-1202,标准轴承座-2,SM-27,"68,416.00"
M-1203,精密轴承座-3,SM-32,14256
M-1204,工业齿轮箱-4,SM-25,"47,633.00"
M-1205,重型泵体-5,SM-22,1678
M-1206,精密阀门-6,SM-33,22611
M-1207,工业齿轮箱-7,SM-30,43540
M-1208,工业阀门-8,SM-37,"$56,862.00"
M-1209,工业法兰-9,SM-21,27773
M-1210,精密联轴器-10,SM-36,49141
M-1211,精密联轴器-11,SM-35,4514
M-1212,精密泵体-12,SM-15,"$72,966.00"
M-1213,精密阀门-13,SM-2,59500
M-1214,定制联轴器-14,SM-17,52064
M-1215,工业轴承座-15,SM-1,"$17,420.00"
M-1216,标准轴承座-16,SM-11,"$34,331.00"
M-1217,标准轴承座-17,SM-28,31622
M-1218,精密阀门-18,SM-27,"$39,134.00"
M-1219,重型法兰-19,SM-3,3937
M-1220,重型联轴器-20,SM-8,31607
M-1221,工业法兰-21,SM-2,"28,808.00"
M-1222,精密法兰-22,SM-18,12969
M-1223,标准法兰-23,SM-32,76234
M-1224,精密联轴器-24,SM-3,"$2,952.00"
M-1225,重型阀门-25,SM-11,"29,912.00"
M-1226,标准轴承座-26,SM-3,55304
M-1227,工业泵体-27,SM-20,47429
M-1228,工业阀门-28,SM-32,14237
M-1229,定制法兰-29,SM-39,36692
M-1230,工业阀门-30,SM-22,"55,530.00"
M-1231,标准轴承座-31,SM-15,"$29,381.00"
M-1232,精密泵体-32,SM-3,60624
M-1233,定制联轴器-33,SM-34,"$78,249.00"
M-1234,重型齿轮箱-34,SM-37,"$59,767.00"
M-1235,标准阀门-35,SM-26,2002
M-1236,重型齿轮箱-36,SM-29,"77,930.00"
M-1237,工业法兰-37,SM-16,54384
M-1238,工业泵体-38,SM-1,61041
M-1239,精密齿轮箱-39,SM-20,76980
M-1240,定制联轴器-0,SM-25,14936
M-1241,精密泵体-1,SM-29,"$60,404.00"
M-1242,工业联轴器-2,SM-33,42644
M-1243,重型泵体-3,SM-27,"$5,432.00"
M-1244,标准联轴器-4,SM-21,27411
M-1245,精密阀门-5,SM-19,53640
M-1246,精密齿轮箱-6,SM-21,"$13,467.00"
M-1247,工业齿轮箱-7,SM-5,28740
M-1248,标准阀门-8,SM-26,"$50,170.00"
M-1249,工业轴承座-9,SM-13,"$13,234.00"
M-1250,定制轴承座-10,SM-5,25200
M-1251,精密阀门-11,SM-23,"$37,980.00"
M-1252,重型齿轮箱-12,SM-18,29645
M-1253,工业阀门-13,SM-8,"30,637.00"
M-1254,工业阀门-14,SM-40,10794
M-1255,标准泵体-15,SM-7,"$32,834.00"
M-1256,精密法兰-16,SM-9,"32,624.00"
M-1257,定制轴承座-17,SM-31,"57,152.00"
M-1258,工业阀门-18,SM-35,"23,893.00"
M-1259,精密齿轮箱-19,SM-20,"$54,876.00"
M-1260,重型齿轮箱-20,SM-17,"$33,664.00"
M-1261,精密轴承座-21,SM-11,"$62,126.00"
M-1262,标准泵体-22,SM-2,45936
M-1263,定制轴承座-23,SM-16,38329
M-1264,工业齿轮箱-24,SM-26,4254
M-1265,工业阀门-25,SM-23,"$60,061.00"
M-1266,精密齿轮箱-26,SM-39,47049
M-1267,重型法兰-27,SM-36,"$59,732.00"
M-1268,定制阀门-28,SM-3,"68,827.00"
M-1269,标准泵体-29,SM-26,"30,823.00"
M-1270,重型联轴器-30,SM-21,12153
M-1271,标准阀门-31,SM-34,"55,699.00"
M-1272,重型齿轮箱-32,SM-33,"27,757.00"
M-1273,标准法兰-33,SM-21,73698
M-1274,重型泵体-34,SM-22,29882
M-1275,精密泵体-35,SM-14,"$16,877.00"
M-1276,定制齿轮箱-36,SM-26,11274
M-1277,标准阀门-37,SM-36,"1,255.00"
M-1278,重型联轴器-38,SM-33,8328
M-1279,定制齿轮箱-39,SM-36,"$38,253.00"
M-1280,标准法兰-0,SM-26,"$59,298.00"
M-1281,标准法兰-1,SM-39,7614
M-1282,定制法兰-2,SM-20,72056
M-1283,重型轴承座-3,SM-14,"15,330.00"
M-1284,标准阀门-4,SM-12,21571
M-1285,工业法兰-5,SM-13,11318
M-1286,标准法兰-6,SM-8,"$43,380.00"
M-1287,精密联轴器-7,SM-6,77029
M-1288,重型联轴器-8,SM-37,"14,991.00"
M-1289,精密法兰-9,SM-27,"$51,552.00"
M-1290,标准法兰-10,SM-35,78454
M-1291,精密阀门-11,SM-34,"$2,145.00"
M-1292,标准法兰-12,SM-33,66481
M-1293,工业法兰-13,SM-26,"$43,552.00"
M-1294,标准联轴器-14,SM-3,55345
M-1295,重型法兰-15,SM-40,"28,738.00"
M-1296,定制齿轮箱-16,SM-8,"24,646.00"
M-1297,重型联轴器-17,SM-28,"29,487.00"
M-1298,精密联轴器-18,SM-37,"$37,505.00"
M-1299,重型法兰-19,SM-27,32056
