employee_id,review_date,score,rating,notes
E-1317,2026-10-26,4.5,良好,表现稳定
E-1083,2024-07-18,C,合格,表现稳定
E-2517,04/02/2024,4,合格,表现稳定
E-2899,2024-05-23,A,良好,业绩突出
E-1691,03/08/2024,3.5,需改进,表现稳定
E-3597,2024-09-10,4,优秀,表现稳定
E-1019,2026-04-17,3.5,良好,沟通待加强
E-1798,2025-11-22,B,合格,表现稳定
E-2128,07/16/2026,2.5,良好,表现稳定
E-1673,11/25/2025,C,需改进,晋升候选
E-3386,07/03/2024,4,优秀,表现稳定
E-1746,04/18/2024,4,合格,表现稳定
E-2698,2024-03-07,B,良好,晋升候选
E-2536,15-12-2026,3,良好,晋升候选
E-2324,2024-02-13,3,良好,表现稳定
E-1269,07-06-2026,C,需改进,晋升候选
E-2526,06-02-2026,4.5,合格,表现稳定
E-1088,2026-02-23,C,合格,业绩突出
E-1689,12/22/2026,4,优秀,表现稳定
E-3480,06/11/2024,A,良好,表现稳定
E-2655,14-08-2026,4,合格,需培训
E-2775,10/18/2026,C,需改进,表现稳定
E-2352,2025-01-21,C,合格,表现稳定
E-2481,2025-05-22,3,良好,沟通待加强
E-1124,07/01/2024,4,良好,业绩突出
E-1421,04/26/2026,4.5,良好,业绩突出
E-1482,03/13/2026,4,合格,晋升候选
E-1370,04-05-2026,3,优秀,表现稳定
E-1080,2024-03-15,A,合格,业绩突出
E-3215,2024-06-22,3,良好,表现稳定
E-1287,01/03/2025,B,优秀,沟通待加强
E-3461,06/22/2026,B,合格,表现稳定
E-2885,2025-03-28,A,优秀,表现稳定
E-2640,11/21/2024,4,优秀,表现稳定
E-1112,2026-07-07,4.5,优秀,表现稳定
E-3426,02/15/2024,4.5,需改进,需培训
E-3503,14-04-2026,4.5,需改进,表现稳定
E-3150,01/22/2026,3,合格,业绩突出
E-1708,16-03-2026,C,优秀,需培训
E-2564,2024-03-07,3,合格,业绩突出
E-1606,2026-11-19,3,合格,表现稳定
E-1464,2025-02-09,3,合格,需培训
E-3387,02/19/2024,4,良好,表现稳定
E-1920,04/18/2026,C,良好,晋升候选
E-1469,10/05/2024,A,合格,晋升候选
E-3077,11/15/2026,C,合格,晋升候选
E-2789,2025-03-22,2.5,合格,沟通待加强
E-3130,2025-11-08,3,优秀,表现稳定
E-3479,17-04-2025,3,需改进,表现稳定
E-3594,2026-10-01,3.5,合格,表现稳定
E-2479,05/08/2025,3,需改进,表现稳定
E-1161,02/19/2026,4,良好,表现稳定
E-3071,2025-06-11,2.5,合格,表现稳定
E-3169,2024-12-19,B,合格,表现稳定
E-3281,07/15/2026,4,优秀,表现稳定
E-2931,17-07-2026,3.5,优秀,表现稳定
E-1811,2024-04-21,C,合格,表现稳定
E-3155,12/07/2026,2.5,合格,业绩突出
E-3289,2024-11-17,B,优秀,表现稳定
E-2565,22-04-2024,4,合格,业绩突出
E-2417,2025-06-25,4,需改进,表现稳定
E-1225,04/19/2024,3.5,良好,晋升候选
E-1208,2026-03-21,C,合格,晋升候选
E-1096,07/03/2025,C,优秀,业绩突出
E-1485,09-08-2025,4.5,良好,业绩突出
E-2394,2024-12-21,C,良好,需培训
E-2811,02-08-2024,4,需改进,表现稳定
E-2774,13-10-2024,4.5,合格,表现稳定
E-2233,2025-03-24,2.5,优秀,表现稳定
E-3205,10/09/2026,A,合格,表现稳定
E-2497,2026-02-15,3,需改进,晋升候选
E-1061,2026-09-05,4.5,需改进,晋升候选
E-3286,2025-12-28,4,良好,需培训
E-3154,2025-07-16,B,需改进,需培训
E-1348,11-11-2024,4.5,良好,表现稳定
E-2770,2025-05-08,3.5,合格,业绩突出
E-2228,2026-01-24,2.5,良好,表现稳定
E-2560,2025-10-09,B,需改进,表现稳定
E-3267,2025-07-14,4,合格,表现稳定
E-1586,12/14/2024,4,良好,表现稳定
E-3438,2026-02-14,3.5,需改进,业绩突出
E-2273,01-10-2026,2.5,良好,表现稳定
E-2416,2024-09-08,C,合格,需培训
E-2823,2024-02-24,C,需改进,业绩突出
E-3263,2025-10-06,B,需改进,表现稳定
E-1487,2026-05-01,3,优秀,沟通待加强
E-2658,03/11/2025,B,良好,需培训
E-2204,2025-09-28,3.5,需改进,晋升候选
E-2115,01/16/2026,C,良好,晋升候选
E-2166,2025-04-18,2.5,需改进,表现稳定
E-3410,2026-08-28,4.5,合格,表现稳定
E-2652,08/10/2024,4.5,良好,需培训
E-1671,19-02-2025,A,需改进,表现稳定
E-1240,15-04-2026,C,良好,表现稳定
E-1590,01-02-2025,A,需改进,表现稳定
E-1273,2026-02-07,2.5,合格,表现稳定
E-2968,2025-11-14,A,需改进,需培训
E-2905,10/11/2026,2.5,合格,沟通待加强
E-2675,02-04-2026,2.5,优秀,业绩突出
E-1689,2025-12-16,3.5,良好,表现稳定
E-2711,09/10/2024,3.5,优秀,表现稳定
E-1652,2024-05-14,4,合格,晋升候选
E-1869,10/16/2024,4.5,合格,业绩突出
E-2160,26-09-2026,B,优秀,需培训
E-1411,2025-03-12,C,需改进,沟通待加强
E-3219,2025-06-16,A,需改进,表现稳定
E-2833,2025-07-03,4,良好,需培训
E-2434,2026-09-17,C,需改进,表现稳定
E-1640,2025-12-26,A,需改进,表现稳定
E-1765,13-05-2025,3.5,优秀,表现稳定
E-1424,09/15/2025,3.5,良好,表现稳定
E-1813,02/13/2026,4,合格,需培训
E-2990,12/14/2026,B,合格,晋升候选
E-2950,2025-10-24,C,优秀,表现稳定
E-2148,2024-04-01,3.5,优秀,表现稳定
E-2860,06/21/2024,3.5,优秀,晋升候选
E-3392,25-02-2025,3,优秀,表现稳定
E-1434,11/28/2025,4.5,合格,沟通待加强
E-2782,2024-07-08,2.5,合格,表现稳定
E-3244,2024-03-12,A,需改进,表现稳定
E-3585,2025-05-01,4.5,合格,业绩突出
E-1207,23-12-2026,C,良好,表现稳定
E-1406,2024-03-14,4.5,合格,表现稳定
E-1599,2024-10-11,C,优秀,表现稳定
E-1420,11/04/2025,2.5,合格,沟通待加强
E-2834,10/06/2024,2.5,合格,表现稳定
E-2785,2025-02-15,A,合格,表现稳定
E-1395,2025-03-08,B,良好,需培训
E-1505,06/20/2024,A,合格,表现稳定
E-2952,02/05/2026,A,优秀,需培训
E-1679,12/06/2026,B,需改进,沟通待加强
E-1250,2025-06-22,B,需改进,表现稳定
E-2013,2025-07-21,2.5,良好,表现稳定
E-2734,04-04-2024,4.5,合格,沟通待加强
E-2869,03/18/2024,3.5,良好,业绩突出
E-2394,01/03/2024,2.5,合格,沟通待加强
E-2584,09/02/2024,A,需改进,晋升候选
E-1589,01/10/2025,4,良好,表现稳定
E-3033,2025-03-22,3.5,良好,需培训
E-3045,2024-02-18,4,需改进,晋升候选
E-1713,2024-08-09,2.5,良好,表现稳定
E-1916,07/12/2024,C,需改进,表现稳定
E-2153,08/21/2024,A,良好,晋升候选
E-1989,2026-02-23,A,需改进,沟通待加强
E-3102,12/12/2026,3,良好,晋升候选
E-3257,2024-06-10,4,需改进,需培训
E-1021,2025-02-14,3,需改进,表现稳定
E-2962,2025-01-10,4.5,优秀,晋升候选
E-1253,07/15/2025,3.5,需改进,表现稳定
E-2394,03/01/2025,2.5,优秀,表现稳定
E-2009,2025-06-07,4.5,需改进,沟通待加强
E-3227,2025-01-02,A,合格,沟通待加强
E-1806,03/23/2025,2.5,优秀,业绩突出
E-2999,2024-01-20,4.5,良好,表现稳定
E-2316,2026-12-07,2.5,合格,表现稳定
E-3309,2026-05-11,A,需改进,需培训
E-3469,2026-04-12,4,合格,晋升候选
E-1997,09/25/2026,C,良好,表现稳定
E-2451,02/12/2026,C,良好,表现稳定
E-1796,24-03-2026,A,良好,沟通待加强
E-2783,2025-07-23,B,良好,表现稳定
E-2187,07-02-2025,2.5,优秀,晋升候选
E-2119,2025-11-09,2.5,良好,业绩突出
E-2996,05/25/2026,A,良好,表现稳定
E-1034,2025-11-21,2.5,良好,需培训
E-1938,2025-06-25,B,合格,表现稳定
E-2785,04-08-2024,B,良好,表现稳定
E-2466,2026-05-01,C,良好,业绩突出
E-3322,06/20/2024,B,良好,表现稳定
E-3000,2026-12-14,B,需改进,需培训
E-2872,2024-12-22,3,需改进,表现稳定
E-2430,22-06-2026,C,优秀,晋升候选
E-2964,2024-08-18,2.5,优秀,表现稳定
E-2571,10-12-2026,B,合格,表现稳定
E-3096,07/14/2025,3.5,需改进,业绩突出
E-2882,04/20/2024,4.5,合格,表现稳定
E-3338,11/02/2026,3.5,优秀,沟通待加强
E-2902,2026-11-19,C,良好,沟通待加强
E-3289,15-04-2024,3.5,合格,晋升候选
E-1667,2026-01-27,3,需改进,晋升候选
E-2164,02/06/2024,2.5,需改进,晋升候选
E-2032,2025-11-13,4,需改进,表现稳定
E-1549,2024-09-07,4.5,优秀,表现稳定
E-1805,12/14/2024,A,需改进,晋升候选
E-1830,2024-02-17,A,需改进,需培训
E-1316,2026-07-13,2.5,需改进,业绩突出
E-1866,02/27/2026,A,合格,表现稳定
E-3404,2024-08-06,4,合格,表现稳定
E-1550,2025-07-18,4,需改进,表现稳定
E-3347,08/09/2026,B,需改进,表现稳定
E-1785,2025-10-23,B,优秀,晋升候选
E-1881,26-10-2025,4.5,需改进,晋升候选
E-1039,2024-03-13,B,需改进,业绩突出
E-2608,11/08/2025,3.5,优秀,表现稳定
E-2368,10/13/2024,2.5,优秀,沟通待加强
E-2759,2025-11-02,4,合格,晋升候选
E-2837,19-01-2025,4,合格,表现稳定
E-2751,19-03-2024,3,需改进,表现稳定
E-1152,11/19/2026,3.5,良好,表现稳定
E-3597,2025-05-09,B,需改进,表现稳定
E-3479,2025-10-09,C,良好,表现稳定
E-3326,2025-06-07,3,良好,晋升候选
E-3424,2026-05-26,3.5,合格,需培训
E-3198,09-08-2024,B,优秀,晋升候选
E-1254,18-08-2025,4.5,优秀,沟通待加强
E-1311,11/22/2026,4,合格,沟通待加强
E-1388,2024-08-22,3,良好,表现稳定
E-1597,2026-07-08,B,需改进,表现稳定
E-2382,2025-02-25,2.5,合格,业绩突出
E-1973,08/20/2024,2.5,优秀,晋升候选
E-1344,2025-05-06,2.5,良好,业绩突出
E-3260,14-06-2024,3.5,需改进,晋升候选
E-2408,2024-10-13,2.5,优秀,沟通待加强
E-2093,15-06-2026,4.5,需改进,沟通待加强
E-2499,2025-02-20,4.5,合格,沟通待加强
E-1908,17-04-2026,3.5,需改进,表现稳定
E-2038,07/28/2024,A,优秀,需培训
E-2809,2024-12-13,4,优秀,表现稳定
E-1864,2025-07-09,3.5,需改进,表现稳定
E-2106,2026-11-06,3.5,需改进,表现稳定
E-1278,08/16/2026,B,良好,表现稳定
E-3485,2025-02-15,A,需改进,需培训
E-1457,2026-01-28,C,合格,表现稳定
E-3415,11/02/2025,3,优秀,需培训
E-1067,07/08/2024,A,良好,需培训
E-2403,2025-10-08,4.5,良好,沟通待加强
E-2153,11/05/2026,A,需改进,表现稳定
E-2958,02/12/2025,3,良好,表现稳定
E-2851,2024-11-06,3,需改进,需培训
E-2013,2025-01-28,4.5,需改进,沟通待加强
E-1249,2025-06-26,4,需改进,需培训
E-1355,2024-04-28,3,优秀,表现稳定
E-2582,11/14/2025,3,合格,表现稳定
E-3488,25-01-2026,3,优秀,表现稳定
E-2066,11/15/2025,4,需改进,表现稳定
E-1816,2025-09-27,4.5,优秀,表现稳定
E-3279,04/06/2026,3,合格,需培训
E-3523,22-10-2024,4.5,合格,晋升候选
E-3504,11/06/2026,B,合格,表现稳定
E-1062,01/11/2025,A,合格,需培训
E-2303,2025-05-15,4,优秀,业绩突出
E-2235,10-10-2026,B,良好,表现稳定
E-3560,2024-03-02,2.5,需改进,表现稳定
E-2970,2026-04-15,A,优秀,沟通待加强
E-1475,03/26/2026,3,优秀,沟通待加强
E-1883,2024-11-18,2.5,良好,需培训
E-2853,01/07/2026,2.5,良好,需培训
E-1372,2025-12-24,4,合格,表现稳定
E-2814,2026-07-04,A,良好,沟通待加强
E-2355,2026-08-10,2.5,优秀,表现稳定
E-1787,05/24/2026,3,合格,沟通待加强
E-2249,2025-02-27,C,需改进,晋升候选
E-2474,03/27/2024,C,需改进,晋升候选
E-2005,05/04/2025,2.5,合格,表现稳定
E-3388,2025-05-27,3.5,良好,沟通待加强
E-2765,03-01-2026,3.5,优秀,沟通待加强
E-1753,2026-11-27,4.5,良好,表现稳定
E-2841,2024-09-07,3,优秀,需培训
E-1909,16-02-2026,4,需改进,表现稳定
E-3442,2026-04-03,3.5,良好,沟通待加强
E-1228,2026-09-14,4,合格,业绩突出
E-2156,25-04-2024,A,需改进,表现稳定
E-1957,03/03/2025,C,优秀,晋升候选
E-3380,18-05-2024,3.5,优秀,表现稳定
E-2969,02/28/2026,3.5,需改进,需培训
E-3137,27-01-2024,4,需改进,表现稳定
E-1136,18-02-2026,2.5,良好,晋升候选
E-1963,2026-11-02,2.5,优秀,沟通待加强
E-1292,09/11/2025,3.5,合格,沟通待加强
E-3144,2025-01-06,3.5,合格,表现稳定
E-1952,10/15/2026,4,优秀,表现稳定
E-2104,2024-05-12,3.5,需改进,表现稳定
E-3064,2025-01-23,2.5,合格,表现稳定
E-3531,06/14/2025,C,良好,沟通待加强
E-2748,12/28/2025,A,需改进,晋升候选
E-2246,10/03/2026,B,优秀,表现稳定
E-2082,2024-05-16,B,需改进,表现稳定
E-1879,09-01-2026,4,优秀,晋升候选
E-1901,2025-06-19,2.5,合格,表现稳定
E-3573,09/17/2024,4,良好,表现稳定
E-1873,09/23/2026,2.5,优秀,晋升候选
E-2641,2026-10-22,2.5,良好,表现稳定
E-2844,2024-07-10,3.5,良好,表现稳定
E-2211,2026-07-27,A,需改进,表现稳定
E-3255,21-10-2026,4.5,需改进,表现稳定
E-3307,2024-01-09,4,优秀,晋升候选
E-2047,07/19/2024,A,良好,表现稳定
E-1173,02-09-2026,A,良好,沟通待加强
E-1703,27-05-2024,3,优秀,业绩突出
E-2080,14-11-2026,2.5,需改进,需培训
E-1701,2026-05-04,B,良好,业绩突出
E-2510,15-04-2025,4.5,合格,业绩突出
E-1794,09/10/2025,3.5,优秀,表现稳定
E-1243,2025-01-15,4.5,合格,表现稳定
E-2168,2026-12-28,2.5,良好,表现稳定
E-2797,05/14/2026,3,需改进,需培训
E-3272,08-02-2026,3.5,良好,需培训
E-1157,2024-11-15,4,优秀,表现稳定
E-2370,2026-05-12,C,合格,表现稳定
E-1358,2024-01-23,3,需改进,需培训
E-1385,12/11/2024,A,良好,业绩突出
E-1739,2025-11-06,C,合格,需培训
E-1258,21-11-2024,3.5,合格,表现稳定
E-1122,05-03-2025,C,优秀,晋升候选
E-2232,05/05/2026,B,需改进,业绩突出
E-1493,2026-11-04,4,合格,表现稳定
E-2230,2025-11-07,C,优秀,表现稳定
E-2344,02/08/2025,3.5,良好,表现稳定
E-1303,2026-01-27,4,良好,表现稳定
E-2730,2024-05-10,B,需改进,沟通待加强
E-1511,02-08-2024,2.5,良好,需培训
E-1438,2024-04-02,C,良好,沟通待加强
E-1967,02/14/2026,4,合格,需培训
E-1635,09/01/2025,4.5,良好,表现稳定
E-1960,04/17/2026,3,优秀,表现稳定
E-2696,2026-07-02,2.5,需改进,需培训
E-1400,03/08/2026,3,优秀,表现稳定
E-1532,2024-05-24,4.5,需改进,表现稳定
E-2980,12/26/2025,2.5,良好,需培训
E-2091,2026-05-04,C,良好,表现稳定
E-3004,12/12/2024,B,优秀,表现稳定
E-2020,08/02/2025,4.5,合格,需培训
E-2877,09/01/2024,B,良好,表现稳定
E-2034,09/18/2026,A,良好,沟通待加强
E-3424,2026-08-17,3.5,良好,表现稳定
E-1746,21-06-2025,B,合格,表现稳定
E-1787,2024-11-15,C,合格,业绩突出
E-3484,04/23/2024,4.5,合格,业绩突出
E-2716,09/01/2024,B,需改进,表现稳定
E-3039,2024-05-09,4,优秀,表现稳定
E-1929,12-09-2024,4,优秀,晋升候选
E-3401,2025-09-07,B,需改进,表现稳定
E-1233,2025-08-03,4,需改进,表现稳定
E-2391,2024-04-28,3.5,需改进,沟通待加强
E-1491,06/19/2024,2.5,需改进,表现稳定
E-3449,17-09-2026,A,合格,晋升候选
E-1746,02/03/2026,3.5,优秀,表现稳定
E-2327,2025-10-13,2.5,优秀,晋升候选
E-1541,2024-02-17,3.5,优秀,沟通待加强
E-1545,10/22/2024,A,良好,需培训
E-1368,2025-11-18,C,需改进,表现稳定
E-1243,2026-04-18,C,优秀,业绩突出
E-1421,07/12/2025,2.5,需改进,晋升候选
E-1154,09/22/2026,B,优秀,业绩突出
E-1840,21-03-2025,A,合格,表现稳定
E-3247,2025-07-12,2.5,合格,业绩突出
E-2681,06/12/2024,C,合格,业绩突出
E-3517,2026-01-01,4.5,优秀,需培训
E-1271,06/27/2024,3,合格,沟通待加强
E-1211,06-10-2024,2.5,合格,表现稳定
E-2548,24-11-2025,C,需改进,需培训
E-2692,2024-06-09,4,良好,表现稳定
E-1197,01/19/2026,A,良好,沟通待加强
E-3418,22-01-2025,A,需改进,表现稳定
E-1800,2026-01-12,4,优秀,需培训
E-1714,10/12/2025,4,合格,沟通待加强
E-1871,10/10/2024,3,优秀,晋升候选
E-2788,02/26/2026,4,需改进,表现稳定
E-3072,2026-11-05,3,优秀,沟通待加强
E-1621,10-06-2026,4.5,良好,业绩突出
E-2686,2025-12-10,4.5,需改进,表现稳定
E-3139,2024-03-06,3.5,合格,需培训
E-2406,03/08/2024,4.5,合格,晋升候选
E-2772,2025-01-13,3,需改进,业绩突出
E-3161,12/24/2026,4.5,优秀,表现稳定
E-1514,25-04-2025,4.5,良好,表现稳定
E-1273,2025-07-23,4,需改进,表现稳定
E-2040,06/18/2026,4.5,良好,表现稳定
E-1757,2025-12-04,3,优秀,表现稳定
E-2666,11/07/2026,4,良好,表现稳定
E-2405,2026-08-24,3.5,优秀,表现稳定
E-1144,2025-12-27,B,良好,表现稳定
E-2785,2026-09-06,4,优秀,表现稳定
E-3185,2025-04-04,3,优秀,表现稳定
E-2260,03/18/2026,B,良好,需培训
E-2176,2025-08-20,B,优秀,需培训
E-2047,04/22/2024,3,合格,业绩突出
E-1731,19-06-2026,3,合格,表现稳定
E-1264,2025-12-23,3,良好,表现稳定
E-2594,01-06-2026,C,优秀,表现稳定
E-1886,08/20/2024,4.5,需改进,业绩突出
E-1533,2026-01-26,2.5,优秀,表现稳定
E-2281,2025-04-13,C,优秀,表现稳定
E-2998,2026-07-22,A,良好,晋升候选
E-3271,08/10/2026,2.5,需改进,表现稳定
E-2776,2024-11-03,4,良好,表现稳定
E-2623,2024-11-15,3.5,良好,表现稳定
E-1610,2025-02-11,B,需改进,需培训
E-1289,2024-03-01,B,优秀,表现稳定
E-1483,11/19/2024,3,良好,需培训
E-2870,12/14/2025,A,需改进,需培训
E-3272,2024-10-20,4.5,合格,业绩突出
E-2269,2026-09-24,C,良好,沟通待加强
E-1268,03/09/2026,2.5,良好,沟通待加强
E-1110,07-11-2026,4,合格,业绩突出
E-3364,2024-06-24,B,优秀,表现稳定
E-2487,2024-10-06,4,合格,沟通待加强
E-2652,2024-02-10,4.5,需改进,沟通待加强
E-1993,2025-07-15,B,合格,表现稳定
E-1377,08/12/2024,2.5,合格,业绩突出
E-3009,18-08-2026,C,优秀,表现稳定
E-1439,2024-06-16,C,合格,表现稳定
E-2786,2024-10-12,2.5,合格,表现稳定
E-3413,02/13/2025,A,合格,沟通待加强
E-2862,04/01/2026,2.5,合格,需培训
E-2170,2026-08-21,4.5,良好,业绩突出
E-2659,2026-05-27,2.5,优秀,表现稳定
E-2662,19-10-2025,3.5,合格,表现稳定
E-1737,05/26/2025,B,良好,晋升候选
E-1076,07/27/2025,B,需改进,沟通待加强
E-1701,07/05/2026,3,优秀,表现稳定
E-1804,2024-03-10,4,合格,晋升候选
E-1477,2024-12-15,A,良好,表现稳定
E-2654,2025-07-12,C,良好,业绩突出
E-2476,2026-08-08,A,合格,需培训
E-2871,16-05-2024,B,合格,表现稳定
E-1653,21-10-2024,C,优秀,沟通待加强
E-1364,2024-03-19,2.5,优秀,表现稳定
E-3168,2024-07-25,3,优秀,表现稳定
E-2926,23-05-2025,A,良好,需培训
E-2240,04/02/2026,2.5,合格,业绩突出
E-1159,12/05/2026,B,合格,表现稳定
E-2413,2024-09-02,C,优秀,需培训
E-2139,2026-08-16,B,优秀,晋升候选
E-2939,2025-11-04,B,优秀,业绩突出
E-3554,08/16/2025,3,良好,业绩突出
E-2544,2025-11-23,A,优秀,需培训
E-3169,2026-12-17,4,合格,业绩突出
E-1668,03/23/2024,3.5,需改进,晋升候选
E-2411,2026-09-07,2.5,需改进,表现稳定
E-1967,19-03-2025,4.5,合格,晋升候选
E-1499,11/10/2026,A,优秀,晋升候选
E-1684,2026-10-21,B,优秀,表现稳定
E-2274,2026-07-24,A,优秀,表现稳定
E-2707,04/05/2026,A,优秀,需培训
E-2900,2024-01-28,3,合格,表现稳定
E-3246,08/05/2025,4,良好,晋升候选
E-1116,17-11-2025,C,优秀,业绩突出
E-3306,04/12/2025,4,优秀,业绩突出
E-2062,03-04-2024,C,优秀,需培训
E-1710,26-12-2025,A,优秀,沟通待加强
E-2511,07/13/2026,3.5,良好,需培训
E-3407,25-09-2025,C,良好,业绩突出
E-1870,2024-11-17,4,优秀,表现稳定
E-2357,2025-04-04,3.5,需改进,晋升候选
E-1902,2026-02-12,2.5,需改进,业绩突出
E-3443,2025-07-10,B,需改进,业绩突出
E-1733,2024-01-23,A,合格,业绩突出
E-3230,2025-06-20,B,合格,表现稳定
E-1734,2026-03-01,3.5,优秀,表现稳定
E-3027,2024-06-02,B,需改进,晋升候选
E-3069,04/10/2024,4,需改进,表现稳定
E-1094,2024-02-16,4.5,合格,沟通待加强
E-1702,08-01-2024,A,需改进,业绩突出
E-2547,2026-07-25,3,合格,表现稳定
E-1853,22-10-2024,3,需改进,表现稳定
E-1547,07-03-2026,3.5,合格,沟通待加强
E-3069,04/15/2024,3,合格,沟通待加强
E-1698,2024-03-15,3.5,需改进,晋升候选
E-2866,2024-02-05,2.5,优秀,需培训
E-1251,07/19/2026,B,合格,表现稳定
E-1832,10/20/2025,3,良好,沟通待加强
E-3471,18-10-2024,4,优秀,业绩突出
E-2686,2024-05-12,4,需改进,表现稳定
E-2027,2025-09-17,C,合格,表现稳定
E-2404,2025-01-09,3.5,良好,需培训
